Unnamed: 0,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID,Vehicle Type
4373,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13632Medicar,13632Medicar
4443,VIOLATION,FORD,ESCAPE,2010.0,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,6418Taxi,6418Taxi
4454,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,"TUDOR CITY HOLDINGS, INC.",CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,4980Taxi,4980Taxi
4458,SURRENDER,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,TAXI MEDALLION GROUPLLC SERIESXXIII,CHICAGO,IL,60618.0,DIS-AFFILIATED,Owner Manager,2433Taxi,2433Taxi
4667,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13634Medicar,13634Medicar
4762,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GALA CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,250Taxi,250Taxi
5259,VIOLATION,FORD,ESCAPE,2011.0,GREEN,Compressed Natural Gas,N,ARIES TAXI CAB INC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",6870Taxi,6870Taxi
5630,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13635Medicar,13635Medicar
5771,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"PRETTY RACHEL IN CHICAGO, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,218Taxi,218Taxi
5804,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13630Medicar,13630Medicar
5879,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,JULY CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5196Taxi,5196Taxi
6121,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,707Taxi,707Taxi
6235,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,BELKIDS TAXI LLC,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,2106Taxi,2106Taxi
6480,SURRENDER,DODGE,GRAND CARAVAN,2016.0,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",748Taxi,748Taxi
6512,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,920Taxi,920Taxi
6943,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,BROWN EYES CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5189Taxi,5189Taxi
7751,VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",770Taxi,770Taxi
7884,VIOLATION,DODGE,GRAND CARAVAN,2013.0,WHITE,Compressed Natural Gas,Y,GOODBAR TAXI CORP II,CHICAGO,IL,60612.0,DIS-AFFILIATED,Owner Manager,6236Taxi,6236Taxi
7897,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,DIAL CAB COMPANY,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,3142Taxi,3142Taxi
8112,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,AQUA ZONE CAB CO.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1714Taxi,1714Taxi
8459,SURRENDER,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,TAXI MEDALLION GROUPLLC SERIESXXIII,CHICAGO,IL,60618.0,DIS-AFFILIATED,Owner Manager,2422Taxi,2422Taxi
8512,INACTIVE,FORD,E350,2010.0,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,12505Medicar,12505Medicar
8693,VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",1222Taxi,1222Taxi
8730,VIOLATION,FORD,ESCAPE,2011.0,GREEN,Compressed Natural Gas,N,ARIES TAXI CAB INC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",6870Taxi,6870Taxi
8875,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GEM AND R CAB CORP,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,3062Taxi,3062Taxi
9188,VIOLATION,CHEVROLET,IMPALA,2009.0,WHITE,Compressed Natural Gas,N,UBOO CAB CORPORATION,CHICAGO,IL,60659.0,DIS-AFFILIATED,Owner Manager,4568Taxi,4568Taxi
9304,VIOLATION,VPG,MV-1,2014.0,WHITE,Compressed Natural Gas,Y,AQUA ZONE CAB CO.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1899Taxi,1899Taxi
9334,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"CHICAGO POLO VIII, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5319Taxi,5319Taxi
9502,VIOLATION,FORD,CROWN VICTORIA,2010.0,WHITE,Compressed Natural Gas,N,MCCAB I CORP.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,2525Taxi,2525Taxi
9561,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,ZHANET CAB CORP,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,6258Taxi,6258Taxi
9664,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,JULY CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1775Taxi,1775Taxi
9935,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13598Medicar,13598Medicar
9954,INACTIVE,FORD,E350,2010.0,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,11882Medicar,11882Medicar
10213,VIOLATION,FORD,ESCAPE,2011.0,WHITE,Compressed Natural Gas,N,"STEPHENDAM , INC.",CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,6660Taxi,6660Taxi
10499,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13599Medicar,13599Medicar
10592,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GERI'S CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,260Taxi,260Taxi
10693,VIOLATION,FORD,ESCAPE,2010.0,GREEN,Compressed Natural Gas,N,NECT 6 INC.,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",6762Taxi,6762Taxi
11359,VIOLATION,VPG,MV-1,2014.0,WHITE,Compressed Natural Gas,Y,"CHICAGO POLO XI, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,772Taxi,772Taxi
11605,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,MOISTURE II HACKING CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,4620Taxi,4620Taxi
11707,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,CARMELO CAB CORP.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,6320Taxi,6320Taxi
11803,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,CHICAGO SEVEN INC,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5077Taxi,5077Taxi
11886,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"I & B MIDWEST ENTERPRISE, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,2436Taxi,2436Taxi
12498,VIOLATION,FORD,ESCAPE,2012.0,WHITE,Compressed Natural Gas,N,MCCAB II CORP.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,2544Taxi,2544Taxi
12564,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO ONE, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,2364Taxi,2364Taxi
12610,VIOLATION,FORD,TRANSIT CONNECT,2012.0,WHITE,Compressed Natural Gas,N,EMMANUEL O ORJI,CHICAGO,IL,60653.0,DIS-AFFILIATED,Owner Manager,3918Taxi,3918Taxi
12835,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13636Medicar,13636Medicar
13113,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13634Medicar,13634Medicar
13136,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,BELKIDS TAXI LLC,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,4460Taxi,4460Taxi
13194,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,"CHICAGO POLO X, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1966Taxi,1966Taxi
13359,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,JIREH TRANSPORTATION SERVICES CORP.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner-Operator,6721Taxi,6721Taxi
13382,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,617Taxi,617Taxi
13390,VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",755Taxi,755Taxi
13512,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,ELSTON ELEVEN LLC,CHICAGO,IL,60612.0,DIS-AFFILIATED,Owner Manager,4423Taxi,4423Taxi
13537,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GALA CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,246Taxi,246Taxi
13773,INACTIVE,FORD,E350,2010.0,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,12517Medicar,12517Medicar
14105,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13597Medicar,13597Medicar
14154,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,DIAL CAB COMPANY,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,3142Taxi,3142Taxi
14226,VIOLATION,FORD,ESCAPE,2011.0,WHITE,Compressed Natural Gas,N,NADIA CHICAGO INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,6571Taxi,6571Taxi
14312,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13633Medicar,13633Medicar
14579,VIOLATION,DODGE,GRAND CARAVAN,2012.0,GREEN,Compressed Natural Gas,Y,NECT 2 INC.,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",3521Taxi,3521Taxi
14723,VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",96Taxi,96Taxi
14815,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13631Medicar,13631Medicar
14831,VIOLATION,TOYOTA,COROLLA,2017.0,WHITE,Compressed Natural Gas,N,PETANI CAB CORP,CHICAGO,IL,60659.0,Top Cab Association,Top Cab Corp.,862Taxi,862Taxi
14882,VIOLATION,FORD,ESCAPE,2010.0,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,2931Taxi,2931Taxi
15111,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,"CHICAGO POLO IX, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,3864Taxi,3864Taxi
15210,VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",1279Taxi,1279Taxi
15608,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,CHICAGO SEVEN INC,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,469Taxi,469Taxi
15724,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,4850Taxi,4850Taxi
15731,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GEM AND R CAB CORP,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,4894Taxi,4894Taxi
15840,SURRENDER,DODGE,GRAND CARAVAN,2012.0,BLUE/WHITE,Compressed Natural Gas,Y,MCCAB XII CORP.,CHICAGO,IL,60641.0,Sun Taxi Association Inc,"Sun Financial Services, Inc.",5533Taxi,5533Taxi
15876,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,N & N TRANSPORTATION INC.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,3076Taxi,3076Taxi
15984,FORECLOSURE,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,LIBRA TAXI INC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",542Taxi,542Taxi
16028,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,SNOWSTORM II HACKING CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1413Taxi,1413Taxi
16404,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,N & N TRANSPORTATION INC.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,1686Taxi,1686Taxi
16600,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,N & N TRANSPORTATION INC.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,3079Taxi,3079Taxi
17,INACTIVE,FREIGHLINE,TROLLEY,2005.0,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,DIS-AFFILIATED,Owner Manager,18536Charter Sightseeing,18536Charter Sightseeing
107,INACTIVE,CHAMPION,TROLLEY,2001.0,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,DIS-AFFILIATED,Owner Manager,13922Charter Sightseeing,13922Charter Sightseeing
393,INACTIVE,THOMAS,TROLLEY,2005.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,DIS-AFFILIATED,Owner Manager,16000Charter Sightseeing,16000Charter Sightseeing
520,INACTIVE,FREIGHTLINER,TRANSIT BUS,2002.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,19210Charter Sightseeing,19210Charter Sightseeing
566,INACTIVE,THOMAS,TROLLEY,2005.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,DIS-AFFILIATED,Owner Manager,16003Charter Sightseeing,16003Charter Sightseeing
932,INACTIVE,MCI,4505,2007.0,BLACK/WHITE/RED/BLUE,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,19175Charter Sightseeing,19175Charter Sightseeing
2021,INACTIVE,ALEXANDER DENNIS LTD,ENVIRO 400,2013.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,16783Charter Sightseeing,16783Charter Sightseeing
2080,INACTIVE,GILLIG,TRANSIT,2016.0,MAROON,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,20614Charter Sightseeing,20614Charter Sightseeing
2729,INACTIVE,TOYOTA,CAMRY,2006.0,YELLOW/BLUE,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,23340Charter Sightseeing,23340Charter Sightseeing
2885,INACTIVE,FREIGHTLINER,GLAVAL LEGACY,2015.0,BLACK,Diesel,N,JKS LIMOUSINES LLC.,CHICAGO,IL,60602.0,DIS-AFFILIATED,Owner Manager,10714Charter Sightseeing,10714Charter Sightseeing
3857,INACTIVE,ALEXANDER DENNIS LTD,ENVIPO400,2012.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,16787Charter Sightseeing,16787Charter Sightseeing
4504,INACTIVE,FREIGHLINE,M2 106,2014.0,BLACK,Diesel,N,Amida Inc,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,14086Charter Sightseeing,14086Charter Sightseeing
5082,INACTIVE,ALEXDER DENNIS LTD,E400H,2014.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,19629Charter Sightseeing,19629Charter Sightseeing
5102,INACTIVE,CHAMPION,TROLLEY,2000.0,MAROON,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,DIS-AFFILIATED,Owner Manager,14357Charter Sightseeing,14357Charter Sightseeing
5427,INACTIVE,FREIGHLINE,X LINE SHUTTLE,2000.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,DIS-AFFILIATED,Owner Manager,13760Charter Sightseeing,13760Charter Sightseeing
5662,INACTIVE,IC,STARCRAFT,2014.0,SILVER,Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,IL,60640.0,DIS-AFFILIATED,Owner Manager,12023Charter Sightseeing,12023Charter Sightseeing
5764,RESERVED,GILLIG,TRANSIT,2015.0,MAROON,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,20613Charter Sightseeing,20613Charter Sightseeing
5815,RESERVED,GILLIG,TRANSIT,2015.0,MAROON,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,20606Charter Sightseeing,20606Charter Sightseeing
6303,ACTIVE,ALEXDER DENNIS LTD,E400H,2014.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,19628Charter Sightseeing,19628Charter Sightseeing
6402,INACTIVE,ALEXANDER DENNIS LTD,ENVIRO 400,2013.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,16786Charter Sightseeing,16786Charter Sightseeing
