Unnamed: 0,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management,Record ID,Vehicle Type
2941,6409,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,6409Taxi,6409Taxi
2968,593,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,SLSJETS III CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,593Taxi,593Taxi
3307,1112,VIOLATION,TOYOTA,COROLLA,2017.0,WHITE,Compressed Natural Gas,N,PETANI CAB CORP,CHICAGO,IL,60659.0,Top Cab Association,Top Cab Corp.,1112Taxi,1112Taxi
3448,6715,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,TRIA HACKING CORP.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,6715Taxi,6715Taxi
4373,13632,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13632Medicar,13632Medicar
4443,6418,VIOLATION,FORD,ESCAPE,2010.0,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,6418Taxi,6418Taxi
4454,4980,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,"TUDOR CITY HOLDINGS, INC.",CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,4980Taxi,4980Taxi
4458,2433,SURRENDER,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,TAXI MEDALLION GROUPLLC SERIESXXIII,CHICAGO,IL,60618.0,DIS-AFFILIATED,Owner Manager,2433Taxi,2433Taxi
4667,13634,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13634Medicar,13634Medicar
4762,250,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GALA CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,250Taxi,250Taxi
5259,6870,VIOLATION,FORD,ESCAPE,2011.0,GREEN,Compressed Natural Gas,N,ARIES TAXI CAB INC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",6870Taxi,6870Taxi
5630,13635,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13635Medicar,13635Medicar
5771,218,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"PRETTY RACHEL IN CHICAGO, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,218Taxi,218Taxi
5804,13630,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13630Medicar,13630Medicar
5879,5196,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,JULY CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5196Taxi,5196Taxi
6121,707,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,707Taxi,707Taxi
6235,2106,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,BELKIDS TAXI LLC,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,2106Taxi,2106Taxi
6480,748,SURRENDER,DODGE,GRAND CARAVAN,2016.0,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",748Taxi,748Taxi
6512,920,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,920Taxi,920Taxi
6943,5189,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,BROWN EYES CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5189Taxi,5189Taxi
7751,770,VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",770Taxi,770Taxi
7884,6236,VIOLATION,DODGE,GRAND CARAVAN,2013.0,WHITE,Compressed Natural Gas,Y,GOODBAR TAXI CORP II,CHICAGO,IL,60612.0,DIS-AFFILIATED,Owner Manager,6236Taxi,6236Taxi
7897,3142,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,DIAL CAB COMPANY,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,3142Taxi,3142Taxi
8112,1714,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,AQUA ZONE CAB CO.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1714Taxi,1714Taxi
8459,2422,SURRENDER,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,TAXI MEDALLION GROUPLLC SERIESXXIII,CHICAGO,IL,60618.0,DIS-AFFILIATED,Owner Manager,2422Taxi,2422Taxi
8512,12505,INACTIVE,FORD,E350,2010.0,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,12505Medicar,12505Medicar
8693,1222,VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",1222Taxi,1222Taxi
8730,6870,VIOLATION,FORD,ESCAPE,2011.0,GREEN,Compressed Natural Gas,N,ARIES TAXI CAB INC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",6870Taxi,6870Taxi
8875,3062,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GEM AND R CAB CORP,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,3062Taxi,3062Taxi
9188,4568,VIOLATION,CHEVROLET,IMPALA,2009.0,WHITE,Compressed Natural Gas,N,UBOO CAB CORPORATION,CHICAGO,IL,60659.0,DIS-AFFILIATED,Owner Manager,4568Taxi,4568Taxi
9304,1899,VIOLATION,VPG,MV-1,2014.0,WHITE,Compressed Natural Gas,Y,AQUA ZONE CAB CO.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1899Taxi,1899Taxi
9334,5319,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"CHICAGO POLO VIII, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5319Taxi,5319Taxi
9502,2525,VIOLATION,FORD,CROWN VICTORIA,2010.0,WHITE,Compressed Natural Gas,N,MCCAB I CORP.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,2525Taxi,2525Taxi
9561,6258,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,ZHANET CAB CORP,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,6258Taxi,6258Taxi
9664,1775,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,JULY CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1775Taxi,1775Taxi
9935,13598,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13598Medicar,13598Medicar
9954,11882,INACTIVE,FORD,E350,2010.0,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,11882Medicar,11882Medicar
10213,6660,VIOLATION,FORD,ESCAPE,2011.0,WHITE,Compressed Natural Gas,N,"STEPHENDAM , INC.",CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,6660Taxi,6660Taxi
10499,13599,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13599Medicar,13599Medicar
10592,260,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GERI'S CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,260Taxi,260Taxi
10693,6762,VIOLATION,FORD,ESCAPE,2010.0,GREEN,Compressed Natural Gas,N,NECT 6 INC.,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",6762Taxi,6762Taxi
11359,772,VIOLATION,VPG,MV-1,2014.0,WHITE,Compressed Natural Gas,Y,"CHICAGO POLO XI, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,772Taxi,772Taxi
11605,4620,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,MOISTURE II HACKING CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,4620Taxi,4620Taxi
11707,6320,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,CARMELO CAB CORP.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,6320Taxi,6320Taxi
11803,5077,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,CHICAGO SEVEN INC,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5077Taxi,5077Taxi
11886,2436,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"I & B MIDWEST ENTERPRISE, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,2436Taxi,2436Taxi
12498,2544,VIOLATION,FORD,ESCAPE,2012.0,WHITE,Compressed Natural Gas,N,MCCAB II CORP.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,2544Taxi,2544Taxi
12564,2364,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO ONE, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,2364Taxi,2364Taxi
12610,3918,VIOLATION,FORD,TRANSIT CONNECT,2012.0,WHITE,Compressed Natural Gas,N,EMMANUEL O ORJI,CHICAGO,IL,60653.0,DIS-AFFILIATED,Owner Manager,3918Taxi,3918Taxi
12835,13636,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13636Medicar,13636Medicar
13113,13634,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13634Medicar,13634Medicar
13136,4460,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,BELKIDS TAXI LLC,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,4460Taxi,4460Taxi
13194,1966,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,"CHICAGO POLO X, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1966Taxi,1966Taxi
13359,6721,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,JIREH TRANSPORTATION SERVICES CORP.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner-Operator,6721Taxi,6721Taxi
13382,617,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,617Taxi,617Taxi
13390,755,VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",755Taxi,755Taxi
13512,4423,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,ELSTON ELEVEN LLC,CHICAGO,IL,60612.0,DIS-AFFILIATED,Owner Manager,4423Taxi,4423Taxi
13537,246,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GALA CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,246Taxi,246Taxi
13773,12517,INACTIVE,FORD,E350,2010.0,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,12517Medicar,12517Medicar
14105,13597,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13597Medicar,13597Medicar
14154,3142,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,DIAL CAB COMPANY,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,3142Taxi,3142Taxi
14226,6571,VIOLATION,FORD,ESCAPE,2011.0,WHITE,Compressed Natural Gas,N,NADIA CHICAGO INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,6571Taxi,6571Taxi
14312,13633,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13633Medicar,13633Medicar
14579,3521,VIOLATION,DODGE,GRAND CARAVAN,2012.0,GREEN,Compressed Natural Gas,Y,NECT 2 INC.,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",3521Taxi,3521Taxi
14723,96,VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",96Taxi,96Taxi
14815,13631,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,DIS-AFFILIATED,Owner Manager,13631Medicar,13631Medicar
14831,862,VIOLATION,TOYOTA,COROLLA,2017.0,WHITE,Compressed Natural Gas,N,PETANI CAB CORP,CHICAGO,IL,60659.0,Top Cab Association,Top Cab Corp.,862Taxi,862Taxi
14882,2931,VIOLATION,FORD,ESCAPE,2010.0,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,2931Taxi,2931Taxi
15111,3864,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,"CHICAGO POLO IX, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,3864Taxi,3864Taxi
15210,1279,VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",1279Taxi,1279Taxi
15608,469,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,CHICAGO SEVEN INC,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,469Taxi,469Taxi
15724,4850,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,4850Taxi,4850Taxi
15731,4894,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GEM AND R CAB CORP,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,4894Taxi,4894Taxi
15840,5533,SURRENDER,DODGE,GRAND CARAVAN,2012.0,BLUE/WHITE,Compressed Natural Gas,Y,MCCAB XII CORP.,CHICAGO,IL,60641.0,Sun Taxi Association Inc,"Sun Financial Services, Inc.",5533Taxi,5533Taxi
15876,3076,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,N & N TRANSPORTATION INC.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,3076Taxi,3076Taxi
15984,542,FORECLOSURE,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,LIBRA TAXI INC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",542Taxi,542Taxi
16028,1413,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,SNOWSTORM II HACKING CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1413Taxi,1413Taxi
16404,1686,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,N & N TRANSPORTATION INC.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,1686Taxi,1686Taxi
16600,3079,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,N & N TRANSPORTATION INC.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,3079Taxi,3079Taxi
17,18536,INACTIVE,FREIGHLINE,TROLLEY,2005.0,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,DIS-AFFILIATED,Owner Manager,18536Charter Sightseeing,18536Charter Sightseeing
107,13922,INACTIVE,CHAMPION,TROLLEY,2001.0,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,DIS-AFFILIATED,Owner Manager,13922Charter Sightseeing,13922Charter Sightseeing
393,16000,INACTIVE,THOMAS,TROLLEY,2005.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,DIS-AFFILIATED,Owner Manager,16000Charter Sightseeing,16000Charter Sightseeing
520,19210,INACTIVE,FREIGHTLINER,TRANSIT BUS,2002.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,19210Charter Sightseeing,19210Charter Sightseeing
566,16003,INACTIVE,THOMAS,TROLLEY,2005.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,DIS-AFFILIATED,Owner Manager,16003Charter Sightseeing,16003Charter Sightseeing
932,19175,INACTIVE,MCI,4505,2007.0,BLACK/WHITE/RED/BLUE,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,19175Charter Sightseeing,19175Charter Sightseeing
2021,16783,INACTIVE,ALEXANDER DENNIS LTD,ENVIRO 400,2013.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,16783Charter Sightseeing,16783Charter Sightseeing
2080,20614,INACTIVE,GILLIG,TRANSIT,2016.0,MAROON,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,20614Charter Sightseeing,20614Charter Sightseeing
2729,23340,INACTIVE,TOYOTA,CAMRY,2006.0,YELLOW/BLUE,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,23340Charter Sightseeing,23340Charter Sightseeing
2885,10714,INACTIVE,FREIGHTLINER,GLAVAL LEGACY,2015.0,BLACK,Diesel,N,JKS LIMOUSINES LLC.,CHICAGO,IL,60602.0,DIS-AFFILIATED,Owner Manager,10714Charter Sightseeing,10714Charter Sightseeing
3857,16787,INACTIVE,ALEXANDER DENNIS LTD,ENVIPO400,2012.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,16787Charter Sightseeing,16787Charter Sightseeing
4504,14086,INACTIVE,FREIGHLINE,M2 106,2014.0,BLACK,Diesel,N,Amida Inc,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,14086Charter Sightseeing,14086Charter Sightseeing
5082,19629,INACTIVE,ALEXDER DENNIS LTD,E400H,2014.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,19629Charter Sightseeing,19629Charter Sightseeing
5102,14357,INACTIVE,CHAMPION,TROLLEY,2000.0,MAROON,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,DIS-AFFILIATED,Owner Manager,14357Charter Sightseeing,14357Charter Sightseeing
5427,13760,INACTIVE,FREIGHLINE,X LINE SHUTTLE,2000.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,DIS-AFFILIATED,Owner Manager,13760Charter Sightseeing,13760Charter Sightseeing
5662,12023,INACTIVE,IC,STARCRAFT,2014.0,SILVER,Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,IL,60640.0,DIS-AFFILIATED,Owner Manager,12023Charter Sightseeing,12023Charter Sightseeing
5764,20613,RESERVED,GILLIG,TRANSIT,2015.0,MAROON,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,20613Charter Sightseeing,20613Charter Sightseeing
5815,20606,RESERVED,GILLIG,TRANSIT,2015.0,MAROON,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,DIS-AFFILIATED,Owner Manager,20606Charter Sightseeing,20606Charter Sightseeing
